LocationType,Location,TimeFrame,DataFormat,Data
County,Crockett,2005,Currency,24599.00
County,Crockett,2006,Currency,25727.00
County,Crockett,2007,Currency,25072.00
County,Crockett,2008,Currency,28985.00
County,Crockett,2009,Currency,29132.00
County,Crockett,2010,Currency,29336.00
County,Crockett,2011,Currency,33809.05
County,Crockett,2012,Currency,34872.10
County,Crockett,2013,Currency,37290.00
County,Crockett,2014,Currency,36472.00
County,Crockett,2015,Currency,35968.00
County,Crockett,2016,Currency,35543.00
County,Crockett,2017,Currency,35555.00
County,Crockett,2018,Currency,36560.00
County,Crockett,2021,Currency,49729.00
County,Crockett,2019,Currency,42303.00
County,Crockett,2020,Currency,44625.00
County,Cumberland,1997,Currency,18311.00
County,Cumberland,1998,Currency,19579.00
County,Cumberland,1999,Currency,20183.00
County,Cumberland,2000,Currency,21317.00
County,Cumberland,2001,Currency,21396.00
County,Cumberland,2002,Currency,22339.00
County,Cumberland,2003,Currency,22816.00
County,Cumberland,2004,Currency,23442.00
County,Cumberland,2005,Currency,24633.00
County,Cumberland,2006,Currency,25962.00
County,Cumberland,2007,Currency,27390.00
County,Cumberland,2008,Currency,28802.00
County,Cumberland,2009,Currency,28794.00
County,Cumberland,2010,Currency,27920.00
County,Cumberland,2011,Currency,30432.81
County,Cumberland,2012,Currency,31858.00
County,Cumberland,2013,Currency,32505.00
County,Cumberland,2014,Currency,33039.00
County,Cumberland,2015,Currency,33973.00
County,Cumberland,2016,Currency,34828.00
County,Cumberland,2017,Currency,36038.00
County,Cumberland,2018,Currency,36613.00
County,Cumberland,2021,Currency,44295.00
County,Cumberland,2019,Currency,39092.00
County,Cumberland,2020,Currency,41720.00
County,Davidson,1997,Currency,29180.00
County,Davidson,1998,Currency,31638.00
County,Davidson,1999,Currency,33336.00
County,Davidson,2000,Currency,35158.00
County,Davidson,2001,Currency,36394.00
County,Davidson,2002,Currency,35959.00
County,Davidson,2003,Currency,38297.00
County,Davidson,2004,Currency,39896.00
County,Davidson,2005,Currency,42192.00
County,Davidson,2006,Currency,42092.00
County,Davidson,2007,Currency,43394.00
County,Davidson,2008,Currency,44228.00
County,Davidson,2009,Currency,43457.00
County,Davidson,2010,Currency,45913.00
