Year,County,Value,LastReportedDate
2015,Tipton,53669,10/23/18
2015,Trousdale,41029,10/23/18
2015,Unicoi,33210,10/23/18
2015,Union,37351,10/23/18
2015,VanBuren,40439,10/23/18
2015,Warren,35376,10/23/18
2015,Washington,42817,10/23/18
2015,Wayne,30701,10/23/18
2015,Weakley,37037,10/23/18
2015,White,34901,10/23/18
2015,Williamson,96565,10/23/18
2015,Wilson,61070,10/23/18
2016,Anderson,44241,10/23/18
2016,Bedford,43819,10/23/18
2016,Benton,33611,10/23/18
2016,Bledsoe,38535,10/23/18
2016,Blount,49532,10/23/18
2016,Bradley,43721,10/23/18
2016,Campbell,33628,10/23/18
2016,Cannon,43654,10/23/18
2016,Carroll,36212,10/23/18
2016,Carter,33177,10/23/18
2016,Cheatham,53179,10/23/18
2016,Chester,42376,10/23/18
2016,Claiborne,33428,10/23/18
2016,Clay,28147,10/23/18
2016,Cocke,31081,10/23/18
2016,Coffee,45456,10/23/18
2016,Crockett,38043,10/23/18
2016,Cumberland,40123,10/23/18
2016,Davidson,50484,10/23/18
2016,Decatur,38180,10/23/18
2016,DeKalb,37640,10/23/18
2016,Dickson,47137,10/23/18
2016,Dyer,42833,10/23/18
2016,Fayette,55972,10/23/18
2016,Fentress,31714,10/23/18
2016,Franklin,44837,10/23/18
2016,Gibson,38854,10/23/18
2016,Giles,40635,10/23/18
2016,Grainger,37522,10/23/18
2016,Greene,36711,10/23/18
2016,Grundy,28467,10/23/18
2016,Hamblen,39270,10/23/18
2016,Hamilton,49434,10/23/18
2016,Hancock,27973,10/23/18
2016,Hardeman,33566,10/23/18
2016,Hardin,37244,10/23/18
2016,Hawkins,37883,10/23/18
2016,Haywood,35094,10/23/18
2016,Henderson,41478,10/23/18
2016,Henry,38378,10/23/18
2016,Hickman,37546,10/23/18
2016,Houston,40680,10/23/18
2016,Humphreys,40995,10/23/18
2016,Jackson,32676,10/23/18
2016,Jefferson,43673,10/23/18
2016,Johnson,30180,10/23/18
2016,Knox,50366,10/23/18
2016,Lake,29893,10/23/18
2016,Lauderdale,32353,10/23/18
2016,Lawrence,40457,10/23/18
2016,Lewis,36920,10/23/18
2016,Lincoln,41038,10/23/18
2016,Loudon,52995,10/23/18
2016,Macon,34098,10/23/18
2016,Madison,44237,10/23/18
2016,Marion,41477,10/23/18
2016,Marshall,44900,10/23/18
2016,Maury,49597,10/23/18
2016,McMinn,38661,10/23/18
2016,Mcnairy,31956,10/23/18
2016,Meigs,35209,10/23/18
2016,Monroe,37054,10/23/18
2016,Montgomery,51528,10/23/18
2016,Moore,49496,10/23/18
2016,Morgan,39728,10/23/18
2016,Obion,38933,10/23/18
2016,Overton,35065,10/23/18
2016,Perry,31274,10/23/18
2016,Pickett,39014,10/23/18
2016,Polk,41520,10/23/18
2016,Putnam,36350,10/23/18
2016,Rhea,38355,10/23/18
2016,Roane,42299,10/23/18
2016,Robertson,56331,10/23/18
2016,Rutherford,58032,10/23/18
2016,Scott,30897,10/23/18
2016,Sequatchie,46541,10/23/18
2016,Sevier,42586,10/23/18
2016,Shelby,46854,10/23/18
2016,Smith,44272,10/23/18
2016,Stewart,41835,10/23/18
2016,Sullivan,40983,10/23/18
2016,Sumner,58972,10/23/18
2016,Tennessee,46574,10/23/18
2016,Tipton,54650,10/23/18
2016,Trousdale,47667,10/23/18
2016,Unicoi,35390,10/23/18
2016,Union,38540,10/23/18
2016,VanBuren,42813,10/23/18
2016,Warren,36245,10/23/18
2016,Washington,44444,10/23/18
2016,Wayne,34008,10/23/18
2016,Weakley,38040,10/23/18
2016,White,35989,10/23/18
2016,Williamson,100140,10/23/18
2016,Wilson,63426,10/23/18
2017,Anderson,47206,4/20/21
2017,Bedford,47117,4/20/21
2017,Benton,33702,4/20/21
2017,Bledsoe,40450,4/20/21
2017,Blount,51172,4/20/21
2017,Bradley,46381,4/20/21
2017,Campbell,35377,4/20/21
2017,Cannon,47457,4/20/21
2017,Carroll,38201,4/20/21
2017,Carter,34625,4/20/21
2017,Cheatham,56150,4/20/21
2017,Chester,43740,4/20/21
2017,Claiborne,35428,4/20/21
2017,Clay,30801,4/20/21
2017,Cocke,32027,4/20/21
2017,Coffee,46614,4/20/21
2017,Crockett,39692,4/20/21
2017,Cumberland,40994,4/20/21
2017,Davidson,53419,4/20/21
2017,Decatur,36427,4/20/21
2017,DeKalb,40690,4/20/21
2017,Dickson,47398,4/20/21
2017,Dyer,44386,4/20/21
2017,Fayette,57919,4/20/21
2017,Fentress,32616,4/20/21
2017,Franklin,46882,4/20/21
2017,Gibson,41315,4/20/21
2017,Giles,43925,4/20/21
2017,Grainger,40088,4/20/21
2017,Greene,38266,4/20/21
2017,Grundy,31919,4/20/21
2017,Hamblen,42042,4/20/21
2017,Hamilton,50273,4/20/21
2017,Hancock,29619,4/20/21
2017,Hardeman,36686,4/20/21
2017,Hardin,39092,4/20/21
2017,Hawkins,38728,4/20/21
2017,Haywood,36118,4/20/21
2017,Henderson,42711,4/20/21
2017,Henry,40415,4/20/21
2017,Hickman,39333,4/20/21
2017,Houston,41820,4/20/21
2017,Humphreys,40998,4/20/21
2017,Jackson,33933,4/20/21
2017,Jefferson,45641,4/20/21
2017,Johnson,32994,4/20/21
2017,Knox,52458,4/20/21
2017,Lake,31993,4/20/21
2017,Lauderdale,35551,4/20/21
2017,Lawrence,41522,4/20/21
2017,Lewis,37092,4/20/21
2017,Lincoln,42153,4/20/21
2017,Loudon,55431,4/20/21
2017,Macon,35533,4/20/21
2017,Madison,44496,4/20/21
2017,Marion,45366,4/20/21
2017,Marshall,46837,4/20/21
2017,Maury,52080,4/20/21
2017,McMinn,39990,4/20/21
2017,McNairy,34353,4/20/21
2017,Meigs,39786,4/20/21
2017,Monroe,36931,4/20/21
2017,Montgomery,53737,4/20/21
2017,Moore,51671,4/20/21
2017,Morgan,40707,4/20/21
2017,Obion,38063,4/20/21
2017,Overton,36052,4/20/21
2017,Perry,31503,4/20/21
2017,Pickett,39313,4/20/21
2017,Polk,42307,4/20/21
2017,Putnam,37802,4/20/21
2017,Rhea,39368,4/20/21
2017,Roane,45407,4/20/21
2017,Robertson,57424,4/20/21
2017,Rutherford,62149,4/20/21
2017,Scott,31875,4/20/21
2017,Sequatchie,51312,4/20/21
2017,Sevier,44473,4/20/21
2017,Shelby,48415,4/20/21
2017,Smith,44275,4/20/21
2017,Stewart,44090,4/20/21
2017,Sullivan,42251,4/20/21
2017,Sumner,61584,4/20/21
2017,Tennessee,48708,4/20/21
2017,Tipton,57212,4/20/21
2017,Trousdale,41776,4/20/21
2017,Unicoi,36576,4/20/21
2017,Union,40132,4/20/21
2017,VanBuren,43631,4/20/21
2017,Warren,36765,4/20/21
2017,Washington,44180,4/20/21
2017,Wayne,34299,4/20/21
2017,Weakley,36550,4/20/21
2017,White,37654,4/20/21
2017,Williamson,103543,4/20/21
2017,Wilson,66123,4/20/21
2018,Anderson,49376,4/20/21
2018,Bedford,48945,4/20/21
2018,Benton,33125,4/20/21
2018,Bledsoe,42889,4/20/21
2018,Blount,54140,4/20/21
2018,Bradley,48140,4/20/21
2018,Campbell,38170,4/20/21
2018,Cannon,49523,4/20/21
2018,Carroll,40810,4/20/21
2018,Carter,36589,4/20/21
2018,Cheatham,58641,4/20/21
2018,Chester,45667,4/20/21
2018,Claiborne,36077,4/20/21
2018,Clay,31487,4/20/21
2018,Cocke,33614,4/20/21
2018,Coffee,47998,4/20/21
2018,Crockett,42047,4/20/21
2018,Cumberland,43893,4/20/21
2018,Davidson,56507,4/20/21
2018,Decatur,40233,4/20/21
2018,DeKalb,44134,4/20/21
2018,Dickson,50549,4/20/21
2018,Dyer,43762,4/20/21
2018,Fayette,59017,4/20/21
2018,Fentress,35084,4/20/21
2018,Franklin,49038,4/20/21
2018,Gibson,41886,4/20/21
2018,Giles,47528,4/20/21
2018,Grainger,42997,4/20/21
2018,Greene,40138,4/20/21
2018,Grundy,36987,4/20/21
2018,Hamblen,42589,4/20/21
2018,Hamilton,53035,4/20/21
2018,Hancock,28990,4/20/21
2018,Hardeman,38651,4/20/21
2018,Hardin,39798,4/20/21
2018,Hawkins,40335,4/20/21
2018,Haywood,38362,4/20/21
2018,Henderson,42430,4/20/21
2018,Henry,40837,4/20/21
2018,Hickman,41998,4/20/21
2018,Houston,43964,4/20/21
2018,Humphreys,41510,4/20/21
2018,Jackson,36703,4/20/21
2018,Jefferson,47264,4/20/21
2018,Johnson,34151,4/20/21
2018,Knox,54437,4/20/21
2018,Lake,34966,4/20/21
2018,Lauderdale,37915,4/20/21
